Wins,Bat_H,Bat_2B,Bat_3B,Bat_HR,Bat_BB,Bat_SO,Base_SB,Base_CS,Pitch_HR,Pitch_BB,Pitch_SO,Field_DP,Field_E,Pitch_H,Ratio_Bat_H_Pitch_H,Ratio_Bat_HR_Pitch_HR,Ratio_Bat_BB_Pitch_BB,Ratio_Bat_SO_Pitch_SO
81,1363,211,30,150,556,928,80,51,150,556,928,170,0.9047189473957922,0.49999973085997235,2726.0014673522205,1,1,1
90,1364,215,31,153,648,902,106,51,153,648,902,186,0.9040272146641541,0.4999997312544612,2728.001466276448,1,1,1
92,1387,236,36,167,670.25,860,109,42,167,671,860,156,0.9037663315081383,0.49999974009353515,2774.0014419618165,1,0.9988822652757079,1
75,1406,257,26,172,590,926,125,44,172,590,926,162,0.9042647362991719,0.4999997470705714,2812.001422475826,1,1,1
75,1458,258,31,124,469,819,86,52,124,469,819,175,0.9049676543262872,0.4999997647904471,2916.001371742758,1,1,1
91,1422,208,37,145,429,1011,89,40,145,429,1011,173,0.9033549332319981,0.49999975273035147,2844.0014064704565,1,1,1
80,1448,237,27,147,566,1000,69,43,147,566,1000,186,0.9051293469230596,0.4999997615304783,2896.0013812161283,1,1,1
81,1396,245,29,115,448,928,94,56,115,448,928,156,0.9034785283468666,0.499999743433962,2792.0014326654914,1,1,1
72,1306,202,23,88,416,882,160,91,88,416,882,172,0.9049337941110167,0.49999971129239384,2612.0015082094055,1,1,1
71,1399,259,24,114,564,930,169,91,114,564,930,161,0.9043972888920141,0.49999974453313684,2798.0014295932965,1,1,1
66,1468,251,23,169,566,1007,92,76,209.25,757,1173,155,0.9037663315081383,0.49999988308534954,2936.000686522988,0.8076463560334528,0.7476882430647291,0.8584825234441603
87,1553,282,28,199,630,993,65,44,209.25,704,1109,134,0.9037110504674845,0.49999983389945934,3106.001031816901,0.951015531660693,0.8948863636363636,0.8954012623985572
70,1581,258,24,193,530,980,53,39,194,533,986,157,0.9047562132058619,0.4999998024715549,3162.00124917038,0.9948453608247423,0.9943714821763602,0.9939148073022313
84,1531,279,25,161,617,953,126,72,161,617,953,140,0.9046425512590116,0.49999978668587064,3062.0013063362853,1,1,1
85,1530,314,27,147,510,1028,93,45,147,510,1028,146,0.9037110504674845,0.4999997864069375,3060.001307190101,1,1,1
70,1404,248,23,158,511,1022,71,45,158,511,1022,156,0.9037110504674845,0.4999997463494614,2808.001424502147,1,1,1
82,1574,309,34,199,608,1024,93,52,209.25,608,1024,184,0.9049337941110167,0.4999997981816978,3148.0012706485436,0.951015531660693,1,1
75,1447,275,26,158,494,1001,116,52,158,494,1001,142,0.9035384372123693,0.499999761200759,2894.001382170667,1,1,1
99,1603,320,32,152,462,805,117,51,152,462,805,151,0.9033549332319981,0.4999998054178671,3206.001247661122,1,1,1
77,1473,276,33,150,476,838,129,61,150,476,838,138,0.9036546632818494,0.49999976955647457,2946.0013577738778,1,1,1
92,1603,272,37,162,450,942,143,46,162,450,942,126,0.9033549332319981,0.4999998054178671,3206.001247661122,1,1,1
95,1520,278,30,147,447,848,161,57,147,447,848,139,0.9033549332319981,0.4999997835872576,3040.0013157900435,1,1,1
65,1353,235,46,159,489,1103.35,73,38,159,489,1173,125,0.9033549332319981,0.4999997268668514,2706.001478197408,1,1,0.940622335890878
100,1566,289,46,199,588,1045,137,39,209.25,588,1045,129,0.9035971369638471,0.49999979611443035,3132.001277139729,0.951015531660693,1,1
85,1466,282,44,179,535,975,97,44,179,535,975,138,0.9037663315081383,0.49999976735053203,2932.001364257115,1,1,1
92,1494,284,35,199,587,1052,71,38,208,587,1052,148,0.9033549332319981,0.49999977598927614,2988.0013386886853,0.9567307692307693,1,1
98,1471,283,41,165,643,1016,92,46,165,643,1016,116,0.9033549332319981,0.49999976892941767,2942.0013596199346,1,1,1
84,1467,303,47,152,531,1006,76,38,152,531,1006,132,0.9037663315081383,0.4999997676676011,2934.00136332715,1,1,1
51,1401,295,38,135,441,1022,53,32,135,441,1022,144,0.9050979851781847,0.4999997452620006,2802.001427552476,1,1,1
77,1419,291,27,191,606,1094,67,26,191,606,1094,159,0.9033549332319981,0.49999975168370864,2838.00140944397,1,1,1
76,1506,320,38,160,504,965,76,30,160,504,965,172,0.9035971369638471,0.4999997795449455,3012.0013280218336,1,1,1
38,1774,217,96,19,248.25,359,104,57,52,377,421.3,98,0.908432943790823,0.4999999238845548,3548.0005401152816,0.36538461538461536,0.6584880636604774,0.8521243769285545
90,1673,222,56,21,248.25,359,226,91,49,377,525,98,0.908432943790823,0.4999999238845548,3346.000509364637,0.42857142857142855,0.6584880636604774,0.6838095238095238
113,1890,246,100,14,248.25,359,301.79999999999995,91,30,475,883,98,0.908432943790823,0.4999999238845548,3780.0005754328536,0.4666666666666667,0.5226315789473684,0.40656851642129105
104,1703,266,98,39,248.25,428,231,91,75,377,825,112,0.9083131507317664,0.4999999238845548,3406.0005184984916,0.52,0.6584880636604774,0.5187878787878788
77,1502,258,79,39,248.25,426,146,74,75,392,822,104,0.908426824915842,0.4999999238845548,3004.0004573016645,0.52,0.6332908163265306,0.5182481751824818
87,1587,220,96,29,258,471,301.79999999999995,91,56,498,908,98,0.9082437132368129,0.4999999238845548,3174.0004831809197,0.5178571428571429,0.5180722891566265,0.5187224669603524
104,1670,320,108,56,248.25,699,301.79999999999995,91,93,377,1155,118,0.9083348164350236,0.4999999238845548,3340.0005084512513,0.6021505376344086,0.6584880636604774,0.6051948051948052
107,1551,261,88,53,302,963,301.79999999999995,91,77,441,1173,98,0.9082043750669834,0.4999999024522718,3102.0006051862238,0.6883116883116883,0.6848072562358276,0.8209718670076727
67,1323,208,77,32,275,755,223,78,46,398,1092,98,0.9083515883999176,0.49999986351461867,2646.0007222808354,0.6956521739130435,0.6909547738693468,0.6913919413919414
78,1502,209,82,33,346,744,216,91,46,479,1030,98,0.9083515883999176,0.4999998844304734,3004.000694341876,0.717391304347826,0.7223382045929019,0.7223300970873786
82,1680,248,108,71,455,525,301.79999999999995,91,95,609,703,102,0.9084153203214704,0.49999990114671783,3360.0006642941876,0.7473684210526316,0.7471264367816092,0.7467994310099573
85,1430,202,108,68,341,633,301.79999999999995,91,82,412,765,98,0.9082873171907646,0.49999983274465026,2860.0009567009206,0.8292682926829268,0.8276699029126213,0.8274509803921568
105,1583,248,68,53,596,570,301.79999999999995,91,67,754,721,124,0.9081613961145085,0.4999998753741579,3166.000789131029,0.7910447761194029,0.7904509283819628,0.7905686546463245
93,1486,213,76,38,646,627,301.79999999999995,91,46,757,764,107,0.9079554482094248,0.49999984737950615,2972.0009071764925,0.8260869565217391,0.8533685601056803,0.8206806282722513
102,1484,212,94,63,625,632,301.79999999999995,91,74,734,742,108,0.9079077773780858,0.499999835231684,2968.000978065046,0.8513513513513513,0.8514986376021798,0.8517520215633423
108,1705,224,63,82,670.25,367,301.79999999999995,91,103,757,461,126,0.9079751685439483,0.4999998909221247,3410.000743911272,0.7961165048543689,0.8854029062087186,0.7960954446854663
102,2035,320,108,126,657,359,296,91,155,757,421.3,165,0.9081332349643317,0.4999999198718462,4070.0006522432764,0.8129032258064516,0.8678996036988111,0.8521243769285545
88,1693,244,70,67,618,359,246,78,83,757,421.3,146,0.907994245185615,0.49999988597064976,3386.000772206936,0.8072289156626506,0.8163804491413474,0.8521243769285545
92,1751,216,92,45,512,359,298,91,56,633,421.3,101,0.9080074942546302,0.4999998933270752,3502.000747137325,0.8035714285714286,0.8088467614533965,0.8521243769285545
114,1932,282,102,55,519,359,286,91,68,637,421.3,165,0.907568658324613,0.4999999110579989,3864.000687343907,0.8088235294117647,0.814756671899529,0.8521243769285545
111,1665,207,60,58,440,359,187,89,63,478,421.3,154,0.907522224546081,0.49999984737950615,3330.0010164527994,0.9206349206349206,0.9205020920502092,0.8521243769285545
101,1617,190,96,42,459,359,197,91,45,489,421.3,134,0.9074616704492698,0.499999831577756,3234.001089355441,0.9333333333333333,0.9386503067484663,0.8521243769285545
77,1647,191,80,56,464,359,214,82,66,545,421.3,101,0.9074841991421075,0.49999986618453846,3294.000881576497,0.8484848484848485,0.8513761467889909,0.8521243769285545
86,1393,168,46,17,471,569,223,91,20,557,673,106,0.9072354871359474,0.4999998156756097,2786.0010270558814,0.85,0.8456014362657092,0.8454680534918276
68,1344,207,55,29,467,618,187,71,34,548,681,104,0.9078824822105219,0.499999799203561,2688.0010794820896,0.8529411764705882,0.8521897810218978,0.9074889867841409
58,1289,167,53,25,335,472,151,71,26,377,553,98,0.907680529595105,0.4999997316480833,2578.001383623225,0.9615384615384616,0.8885941644562334,0.8535262206148282
54,1280,167,55,18,318,691,139,87,19,377,797,98,0.9075327751536418,0.4999997240185548,2560.001413025779,0.9473684210526315,0.843501326259947,0.8670012547051443
53,1196,167,46,17,382,724,100,56,18,410,1173,109,0.9076976628266226,0.49999971129239384,2392.0013811779854,0.9444444444444444,0.9317073170731708,0.6172208013640239
63,1338,167,67,24,452,454,129,87,26,495,536,140,0.9071905818099509,0.4999997670328134,2676.0012468409636,0.9230769230769231,0.9131313131313131,0.8470149253731343
66,1292,167,45,18,436,454,141,86,19,459,493,98,0.9071273821994986,0.49999972927329916,2584.0013991163473,0.9473684210526315,0.9498910675381264,0.920892494929006
48,1187,167,46,16,424,657,143,48,18,449,774,107,0.9076891461827492,0.49999971129239384,2374.0013707845055,0.8888888888888888,0.9443207126948775,0.8488372093023255
56,1334,183,52,33,380,572,161,91,35,402,606,145,0.9075115367056055,0.49999974921554624,2668.0013381865165,0.9428571428571428,0.945273631840796,0.9438943894389439
47,1520,267,58,40,594,619,181,71,43,637,664,118,0.9077388051426432,0.4999998120414516,3040.0011427884037,0.9302325581395349,0.9324960753532182,0.9322289156626506
55,1551,240,72,37,481,731,145,57,39,509,774,137,0.9074501785530162,0.49999981455134035,3102.0011505239113,0.9487179487179487,0.9449901768172888,0.9444444444444444
74,1414,205,64,34,524,687,190,91,36,562,737,98,0.9073327712055688,0.4999997827304611,2828.0012288770463,0.9444444444444444,0.9323843416370107,0.932157394843962
100,1384,226,64,37,532,653,147,87,39,563,691,151,0.9070065803301482,0.4999997670328134,2768.001289706946,0.9487179487179487,0.9449378330373002,0.9450072358900145
88,1299,246,61,18,585,661,129,91,19,623,704,123,0.906762931090221,0.49999973896555183,2598.0013563357006,0.9473684210526315,0.9390048154093098,0.9389204545454546
76,1355,179,79,23,452,622,164,91,24,479,659,129,0.906870749804535,0.49999975719020506,2710.0013160297276,0.9583333333333334,0.9436325678496869,0.9438543247344461
69,1325,167,77,17,457,572,108,76,22,597,747,116,0.9069012578432527,0.49999983313092117,2650.0008844064128,0.7727272727272727,0.7654941373534339,0.7657295850066934
66,1400,167,72,28,414,561,169,91,33,483,654,129,0.9068810088864887,0.4999998122717224,2800.0010512787494,0.8484848484848485,0.8571428571428571,0.8577981651376146
66,1447,179,92,25,410,520,94,91,27,437,554,133,0.907042516877073,0.4999997897184077,2894.001217110368,0.9259259259259259,0.9382151029748284,0.9386281588447654
84,1653,221,106,65,399,498,100,91,69,422,527,129,0.9065680289742206,0.4999998367346939,3306.0010795105563,0.9420289855072463,0.9454976303317536,0.9449715370018975
56,1435,172,77,34,410,478,71,69,36,434,506,128,0.9067741600967414,0.4999997833022228,2870.00124384578,0.9444444444444444,0.9447004608294931,0.9446640316205533
57,1531,224,61,34,451,425,60,84,36,474,447,165,0.9069211555176246,0.4999998073456039,3062.0011798159762,0.9444444444444444,0.9514767932489452,0.9507829977628636
56,1435,205,55,26,375,478,78,72,28,397,506,163,0.9060490064332924,0.4999997833022228,2870.00124384578,0.9285714285714286,0.9445843828715366,0.9446640316205533
74,1659,275,74,43,429,402,82,76,46,454,426,154,0.906839419872135,0.49999983803302117,3318.0010748132195,0.9347826086956522,0.9449339207048458,0.9436619718309859
70,1539,223,66,17,454,371,86,42,18,484,421.3,160,0.9067051914443152,0.4999998140987507,3078.001144408516,0.9444444444444444,0.9380165289256198,0.8806076430097317
63,1576,227,64,39,364,382,105,61,41,383,421.3,137,0.9069309754239071,0.4999998181132965,3152.001146614196,0.9512195121951219,0.9503916449086162,0.9067173035841443
53,1524,255,43,55,473,399,64,53,58,501,422,149,0.9064726408932803,0.4999998080611256,3048.0011700598275,0.9482758620689655,0.9441117764471058,0.9454976303317536
59,1558,265,81,35,429,454,68,33,37,451,478,154,0.9066196117098342,0.4999998138718344,3116.00115995116,0.9459459459459459,0.9512195121951219,0.9497907949790795
74,1581,259,82,69,349,418,73,47,73,377,440,176,0.90620965507768525,0.4999998192053787,3162.0011433455984,0.9452054794520548,0.9257294429708223,0.95
67,1438,232,62,36,387,452,48,54,38,407,475,148,0.9060109611189064,0.499999781580128,2876.0012563516525,0.9473684210526315,0.9508599508599509,0.9515789473684211
81,1536,276,56,66,365,522,38,52,69,384,549,153,0.9056705214073335,0.49999980853592785,3072.00117635571,0.9565217391304348,0.9505208333333334,0.9508196721311475
87,1389,228,59,57,343,450,35,38,60,377,473,156,0.9050338186328274,0.49999976575540833,2778.001301463561,0.95,0.9098143236074271,0.9513742071881607
84,1566,250,47,89,402,472,35,45,95,431,506,129,0.9061044203452289,0.49999982284580496,3132.001109694271,0.9368421052631579,0.9327146171693735,0.932806324110672
40,1478,247,35,79,374,462,35,40,84,396,489,107,0.9065414596712038,0.4999997958537905,2956.0012069128834,0.9404761904761905,0.9444444444444444,0.9447852760736196
75,1525,218,47,70,455,612,35,39,74,479,644,184,0.9064001864642577,0.4999998056604126,3050.001185471944,0.9459459459459459,0.9498956158663883,0.9503105590062112
84,1348,213,44,67,517,754,48,52,71,551,804,136,0.9058278931416256,0.49999975786561446,2696.001305589239,0.9436619718309859,0.9382940108892922,0.9378109452736318
68,1497,213,42,60,393,530,44,38,64,422,569,186,0.9063238055384143,0.499999806144145,2994.0011608093096,0.9375,0.9312796208530806,0.9314586994727593
69,1456,233,53,63,428,619,51,47,67,456,660,180,0.9063394108319476,0.499999792419492,2912.0012089493807,0.9402985074626866,0.9385964912280702,0.9378787878787879
65,1331,230,23,74,519,555,54,45,81,568,608,151,0.9054719858792476,0.499999764467468,2662.001253975791,0.9135802469135802,0.9137323943661971,0.912828947368421
72,1284,214,38,41,497,645,59,56,43,526,683,147,0.9062265089880364,0.49999972967128026,2568.0013884090554,0.9534883720930233,0.9448669201520913,0.9443631039531479
68,1366,263,41,83,480,535,39,48,87,505,563,168,0.9062759595725977,0.49999975786561446,2732.0013230229233,0.9540229885057471,0.9504950495049505,0.9502664298401421
71,1549,244,27,108,554,544,87,44,115,590,580,171,0.9065005893672801,0.4999998165676805,3098.0011365470687,0.9391304347826087,0.9389830508474576,0.9379310344827586
86,1458,252,51,47,591,496,64,72,50,626,525,137,0.9060676944594931,0.49999979026282587,2916.0012231877126,0.94,0.9440894568690096,0.9447619047619048
90,1519,279,44,89,587,526,61,35,94,617,553,130,0.9056938832446803,0.4999998041983017,3038.001189691585,0.9468085106382979,0.9513776337115073,0.9511754068716094
96,1544,288,52,101,670.25,568,46,24,107,752,601,140,0.9054456141502872,0.4999998129600015,3088.001155159463,0.9439252336448598,0.8912898936170213,0.9450915141430949
79,1447,259,35,108,670.25,690,35,24,114,757,726,151,0.9055985596104141,0.4999997841556428,2894.001249307679,0.9473684210526315,0.8854029062087186,0.9504132231404959
87,1484,259,38,156,647,648,75,49,164,681,682,154,0.9062759595725977,0.49999979480621703,2968.0012180307954,0.9512195121951219,0.9500734214390602,0.9501466275659824
80,1457,246,39,137,594,649,84,36,144,625,683,165,0.9054979957619532,0.4999997872421002,2914.0012399535676,0.9513888888888888,0.9504,0.9502196193265008
68,1285,198,33,116,511,753,61,36,123,541,797,151,0.9057169423371344,0.4999997300683845,2570.001387449253,0.943089430894309,0.944547134935305,0.944792973651192
94,1467,228,43,146,495,651,57,33,154,521,685,180,0.9044818582246311,0.4999997899908814,2934.0012323340256,0.948051948051948,0.9500959692898272,0.9503649635036496
89,1449,230,58,191,530,773,44,28,201,558,813,163,0.9056705214073335,0.4999997847217917,2898.0012477530327,0.9502487562189055,0.9498207885304659,0.95079950799508
100,1545,232,65,199,485,767,37,24,209.25,510,807,182,0.9046425512590116,0.49999981065088756,3090.001170177958,0.951015531660693,0.9509803921568627,0.9504337050805453
89,1481,224,37,184,507,794,43,24,191,527,825,143,0.9047189473957922,0.49999978862319294,2962.001252196734,0.9633507853403142,0.9620493358633776,0.9624242424242424
93,1465,208,50,179,487,834,73,39,188,512,877,144,0.9053080586312758,0.4999997894454034,2930.0012338504557,0.9521276595744681,0.951171875,0.95096921322691
87,1436,209,36,198,562,926,74,45,208,591,974,160,0.9042647362991719,0.49999978100153253,2872.001257927748,0.9519230769230769,0.9509306260575296,0.9507186858316222
86,1376,204,38,181,581,975,57,27,181,581,975,154,0.9045230605819398,0.49999973592144403,2752.0014534891397,1,1,1
84,1345,204,39,139,525,954,75,52,139,525,954,161,0.9047562132058619,0.4999997236080209,2690.0014869896695,1,1,1
88,1522,274,32,159,486,825,53,41,159,486,825,139,0.90522067108304,0.4999997841556428,3044.001314061014,1,1,1
86,1419,243,28,196,408,976,64,37,196,408,976,145,0.9051293469230596,0.49999975168370864,2838.00140944397,1,1,1
85,1476,220,32,199,512,913,59,47,207,512,913,139,0.9055236510799471,0.4999997704922849,2952.001355014172,0.961352657004831,1,1
77,1307,191,29,158,512,947,55,45,158,512,947,148,0.9050661460170323,0.49999971129239384,2614.0015093642364,1,1,1
81,1399,179,31,80,414,782,83,44,80,414,782,139,0.9046033900893089,0.49999974453313684,2798.0014295932965,1,1,1
76,1495,215,24,160,522,736,58,34,160,522,736,118,0.9051293469230596,0.49999977628885584,2990.0013377932405,1,1,1
74,1434,196,23,151,560,810,49,37,159,589,852,137,0.9057621751673173,0.4999997801293191,2868.00126117878,0.949685534591195,0.9507640067911715,0.9507042253521126
76,1506,220,34,199,612,875,85,40,208,616,880,143,0.9058278931416256,0.4999997821564335,3012.0013122902164,0.9567307692307693,0.9935064935064936,0.9943181818181818
88,1375,202,37,120,571,772,72,44,120,571,772,161,0.9048644566094097,0.49999973553719007,2750.001454546224,1,1,1
67,1331,180,28,108,546,764,55,38,109,549,769,148,0.9060109611189064,0.4999997211254707,2662.001484728822,0.9908256880733946,0.994535519125683,0.9934980494148244
70,1309,170,30,82,589,811,74,61,82,589,811,151,0.9058278931416256,0.49999971129239384,2618.0015116738987,1,1,1
61,1404,218,23,139,537,876,82,53,139,537,876,127,0.9059915959240611,0.4999997463494614,2808.001424502147,1,1,1
69,1313,191,39,123,550,874,90,65,123,550,874,126,0.9054979957619532,0.49999971129239384,2626.001516293223,1,1,1
67,1406,223,28,128,496,828,99,51,130,502,838,141,0.9061753730553641,0.49999975342444136,2812.0013867416255,0.9846153846153847,0.9880478087649402,0.9880668257756563
82,1360,227,23,145,437,905,73,52,146,440,911,157,0.9057397044406477,0.49999973282377486,2720.0014534394413,0.9931506849315068,0.9931818181818182,0.9934138309549945
76,1354,226,34,98,491,825,150,60,150,750,1173,142,0.9055739261915361,0.4999998831983379,2708.00063259795,0.6533333333333333,0.6546666666666666,0.7033248081841432
89,1411,215,23,146,554,869,151,77,146,554,869,186,0.9050338186328274,0.49999974885994974,2822.0014174351554,1,1,1
88,1489,218,45,130,582,847,146,88,130,582,847,176,0.9050338186328274,0.49999977448231286,2978.00134318395,1,1,1
80,1338,234,27,111,555,896,140,85,111,555,896,153,0.9050979851781847,0.4999997207084621,2676.0014947691457,1,1,1
66,1359,213,28,126,553,849,72,52,126,553,849,186,0.9056468509206721,0.49999972927329916,2718.0014716711426,1,1,1
72,1356,242,24,139,541,910,94,76,140,544,916,182,0.9051906798317156,0.4999997312544612,2712.001457676586,0.9928571428571429,0.9944852941176471,0.9934497816593887
69,1410,286,24,153,645,839,136,68,154,649,844,171,0.9042647362991719,0.49999975168370864,2820.0014005045787,0.9935064935064936,0.9938366718027735,0.9940758293838863
55,1335,231,28,97,437,859,96,70,98,442,870,140,0.9054979957619532,0.4999997264626589,2670.0014606902005,0.9897959183673469,0.9886877828054299,0.9873563218390805
65,1376,263,26,162,473,1010,92,55,162,473,1010,133,0.9056228657270091,0.49999973592144403,2752.0014534891397,1,1,1
94,1407,255,30,141,563,906,165,76,141,563,906,122,0.9050661460170323,0.4999997474299737,2814.001421464826,1,1,1
98,1391,223,48,138,493,924,126,60,138,493,924,121,0.903873700904011,0.49999974158617505,2782.001437815265,1,1,1
104,1444,239,29,169,560,946,125,48,169,560,946,146,0.9038205381394819,0.49999976020748765,2888.0013850422156,1,1,1
97,1465,281,26,195,536,949,68,44,209.25,757,1173,121,0.9041723296466183,0.4999998846524023,2930.0006759370785,0.931899641577061,0.7080581241743725,0.8090366581415175
101,1352,236,30,189,585,1050,82,48,209.25,658,1173,127,0.9040764853957337,0.49999978387173044,2704.001168822187,0.9032258064516129,0.8890577507598785,0.8951406649616368
96,1514,264,28,197,530,1032,83,43,197,530,1032,143,0.9047928772621397,0.4999997818685662,3028.0013210045395,1,1,1
101,1490,268,37,174,597,1103.35,108,58,174,597,1160,136,0.9041248489082961,0.4999997747849196,2980.001342282484,1,1,0.9511637931034482
106,1489,297,26,199,548,1062,98,43,209.25,548,1062,139,0.9033549332319981,0.49999977448231286,2978.00134318395,0.951015531660693,1,1
103,1481,309,23,197,608,962,148,66,197,608,962,122,0.9039770113654614,0.49999977203934964,2962.0013504395083,1,1,1
95,1490,274,26,179,595,1010,148,56,179,595,1010,138,0.9047562132058619,0.4999997747849196,2980.001342282484,1,1,1
88,1432,263,24,174,493,1039,85,46,174,493,1039,133,0.9035384372123693,0.4999997561717799,2864.001396648726,1,1,1
101,1608,320,31,199,545,933,68,24,209.25,545,933,166,0.9044399404907298,0.49999980662607363,3216.0012437815753,0.951015531660693,1,1
96,1503,304,37,178,587,1103.35,86,32,178,587,1158,171,0.9042189511918559,0.4999997786640071,3006.0013306725787,1,1,0.9528065630397236
90,1453,308,37,184,534,1084,92,32,184,534,1084,170,0.9033549332319981,0.49999976316887623,2906.0013764631435,1,1,1
79,1510,312,26,199,526,1103.35,52,35,209.25,526,1169,146,0.9033549332319981,0.4999997807113723,3020.001324503892,0.951015531660693,1,0.9438408896492728
57,1478,227,78,31,384,454,208,91,37,454,537,125,0.9080330956849206,0.4999998363608753,2956.0009674348216,0.8378378378378378,0.8458149779735683,0.845437616387337
93,1494,248,73,35,444,390,163,74,42,529,465,145,0.9075275168408663,0.49999984219164245,2988.0009430630425,0.8333333333333334,0.8393194706994329,0.8387096774193549
76,1320,193,79,14,316,628,118,66,18,377,732,110,0.9074501785530162,0.49999978862319294,2640.0011160700133,0.7777777777777778,0.8381962864721485,0.8579234972677595
69,1349,167,56,14,354,649,160,47,18,377,692,98,0.9072784092846007,0.49999975820226283,2698.001304741221,0.7777777777777778,0.9389920424403183,0.9378612716763006
83,1353,167,65,22,398,448,240,91,24,433,540,98,0.9074616704492698,0.49999976892941767,2706.0012505545697,0.9166666666666666,0.9191685912240185,0.8296296296296296
74,1411,167,67,14,394,426,153,71,18,420,450,103,0.9072713878042168,0.49999977895823905,2822.0012475602502,0.7777777777777778,0.9380952380952381,0.9466666666666667
88,1344,184,55,21,366,515,134,62,22,390,568,103,0.9070246977471417,0.4999997561717799,2688.0013108211506,0.9545454545454546,0.9384615384615385,0.9066901408450704
66,1243,167,49,14,357,616,147,91,18,386,717,116,0.9072991666607925,0.499999722370908,2486.001380372612,0.7777777777777778,0.9248704663212435,0.8591352859135286
49,1162,167,63,14,437,636,178,91,18,460,674,119,0.9078594874280952,0.49999971129239384,2324.001341913728,0.7777777777777778,0.95,0.9436201780415431
48,1270,199,67,18,490,637,133,87,19,522,702,111,0.9077776887058615,0.49999972727014874,2540.0013854684003,0.9473684210526315,0.9386973180076629,0.9074074074074074
56,1328,175,75,20,472,454,185,91,21,497,512,134,0.907680529595105,0.4999997438011405,2656.001360929039,0.9523809523809523,0.9496981891348089,0.88671875
60,1263,190,77,19,482,814,221,91,20,510,862,132,0.9074897386520254,0.4999997202905175,2526.0014130930963,0.95,0.9450980392156862,0.9443155452436195
75,1314,196,79,18,448,914,247,91,19,474,968,121,0.9075786224710092,0.49999974158617505,2628.0013582237657,0.9473684210526315,0.9451476793248945,0.9442148760330579
66,1320,175,68,20,497,805,212,91,21,523,847,151,0.9076585393465888,0.49999974084146703,2640.001368357763,0.9523809523809523,0.9502868068833652,0.9504132231404959
83,1328,190,53,15,660,673,246,91,18,694,708,126,0.9070942553472989,0.4999997438011405,2656.001360929039,0.8333333333333334,0.9510086455331412,0.9505649717514124
