Wins,Bat_H,Bat_2B,Bat_3B,Bat_HR,Bat_BB,Bat_SO,Base_SB,Base_CS,Pitch_H,Pitch_HR,Pitch_BB,Pitch_SO,Field_E,Field_DP,winsor_Field_E_trans,winsor_Pitch_H_trans,Ratio_Bat_H_Pitch_H,Ratio_Bat_HR_Pitch_HR,Ratio_Bat_BB_Pitch_BB,Ratio_Bat_SO_Pitch_SO
65,1353,235,46,159,489,1105.8999999999999,73,38,1353,159,489,1169,100.75,125,0.9034018852397274,0.4999997268668514,1,1,1,0.946022241231822
100,1566,289,46,199,588,1045,137,39,1566,211,588,1045,104,129,0.9035971369638471,0.49999979611443035,1,0.943127962085308,1,1
85,1466,282,44,179,535,975,97,44,1466,179,535,975,107,138,0.9037663315081383,0.49999976735053203,1,1,1,1
92,1494,284,35,199,587,1052,71,38,1494,208,587,1052,100.75,148,0.9034018852397274,0.49999977598927614,1,0.9567307692307693,1,1
98,1471,283,41,165,643,1016,92,46,1471,165,643,1016,100.75,116,0.9034018852397274,0.49999976892941767,1,1,1,1
51,1401,295,38,135,441,1022,53,32,1401,135,441,1022,139,144,0.9050979851781847,0.4999997452620006,1,1,1,1
77,1419,291,27,191,606,1094,67,26,1419,191,606,1094,100.75,159,0.9034018852397274,0.49999975168370864,1,1,1,1
38,1774,217,96,19,243.75,354.70000000000005,226,91,2642.5,52,369.75,420,726.5,97,0.9084433966242935,0.49999992839555013,0.6713339640491959,0.36538461538461536,0.6592292089249493,0.8445238095238097
90,1673,222,56,21,243.75,354.70000000000005,298,91,2642.5,49,369.75,525,726.5,97,0.9084433966242935,0.49999992839555013,0.633112582781457,0.42857142857142855,0.6592292089249493,0.6756190476190477
113,1890,246,100,13.75,243.75,354.70000000000005,300.8499999999999,78,2642.5,30,475,883,726.5,97,0.9084433966242935,0.49999992839555013,0.7152317880794702,0.4583333333333333,0.5131578947368421,0.40169875424688567
104,1703,266,98,39,243.75,428,251,91,2642.5,75,369.75,825,615,112,0.9083131507317664,0.49999992839555013,0.644465468306528,0.52,0.6592292089249493,0.5187878787878788
77,1502,258,79,39,243.75,426,300.8499999999999,91,2642.5,75,392,822,710,104,0.908426824915842,0.49999992839555013,0.5684011352885525,0.52,0.6218112244897959,0.5182481751824818
87,1587,220,96,29,258,471,300.8499999999999,91,2642.5,56,498,908,569,97,0.9082437132368129,0.49999992839555013,0.6005676442762535,0.5178571428571429,0.5180722891566265,0.5187224669603524
67,1323,208,77,32,275,755,193,91,1914,46,398,1092,644,97,0.9083515883999176,0.49999986351461867,0.6912225705329154,0.6956521739130435,0.6909547738693468,0.6913919413919414
78,1502,209,82,33,346,744,216,60,2080,46,479,1030,644,97,0.9083515883999176,0.4999998844304734,0.7221153846153846,0.717391304347826,0.7223382045929019,0.7223300970873786
82,1680,248,107,71,455,525,300.8499999999999,91,2249,95,609,703,699,97,0.9084153203214704,0.49999990114671783,0.7469986660738106,0.7473684210526316,0.7471264367816092,0.7467994310099573
105,1583,248,68,53,596,570,300.8499999999999,78,2003,67,754,721,523,97,0.9081613961145085,0.4999998753741579,0.7903145282076884,0.7910447761194029,0.7904509283819628,0.7905686546463245
102,1484,212,94,63,625,632,300.8499999999999,91,1742,74,734,742,420,100,0.9079077773780858,0.499999835231684,0.851894374282434,0.8513513513513513,0.8514986376021798,0.8517520215633423
108,1705,224,63,82,670,367,300.8499999999999,91,2141,103,755.5,461,443,124,0.9079751685439483,0.4999998909221247,0.7963568425969173,0.7961165048543689,0.886829913964262,0.7960954446854663
88,1693,244,70,67,618,354.70000000000005,246,91,2094,83,755.5,420,450,140,0.907994245185615,0.49999988597064976,0.8085004775549188,0.8072289156626506,0.8180013236267373,0.8445238095238097
92,1751,216,92,45,512,354.70000000000005,298,91,2165,56,633,420,455,97,0.9080074942546302,0.4999998933270752,0.8087759815242495,0.8035714285714286,0.8088467614533965,0.8445238095238097
77,1647,191,80,56,464,354.70000000000005,214,91,1933,66,545,420,318,101,0.9074841991421075,0.49999986618453846,0.8520434557682359,0.8484848484848485,0.8513761467889909,0.8445238095238097
86,1393,168,46,17,471,569,223,91,1647,20,557,673,279,106,0.9072354871359474,0.4999998156756097,0.8457802064359441,0.85,0.8456014362657092,0.8454680534918276
68,1344,207,55,29,467,616,187,71,1578,34,548,708,412,104,0.9078824822105219,0.499999799203561,0.8517110266159695,0.8529411764705882,0.8521897810218978,0.8700564971751412
58,1289,166,53,25,335,821,151,82,1365,26,369.75,872,358,97,0.907680529595105,0.4999997316480833,0.9443223443223443,0.9615384615384616,0.9060175794455714,0.9415137614678899
54,1280,166,55,18,318,525,139,90,1346,19,369.75,569,327,97,0.9075327751536418,0.4999997240185548,0.950965824665676,0.9473684210526315,0.8600405679513184,0.9226713532513181
53,1196,166,46,17,382,440,100,63,1316,18,410,480,362,109,0.9076976628266226,0.49999971129239384,0.9088145896656535,0.9444444444444444,0.9317073170731708,0.9166666666666666
63,1338,166,67,24,452,543,129,58,1465,26,495,572,273,140,0.9071905818099509,0.4999997670328134,0.9133105802047782,0.9230769230769231,0.9131313131313131,0.9493006993006993
66,1292,166,45,18,436,541,141,91,1359,19,459,536,265,97,0.9071273821994986,0.49999972927329916,0.9506990434142752,0.9473684210526315,0.9498910675381264,1.0093283582089552
48,1187,166,46,16,424,633,143,91,1316,17,449,674,360,107,0.9076891461827492,0.49999971129239384,0.9019756838905775,0.9411764705882353,0.9443207126948775,0.9391691394658753
47,1520,267,58,40,594,619,181,59,1631,43,637,664,372,118,0.9077388051426432,0.4999998120414516,0.9319435928877989,0.9302325581395349,0.9324960753532182,0.9322289156626506
55,1551,240,72,37,481,731,145,73,1642,39,509,774,312,137,0.9074501785530162,0.49999981455134035,0.9445797807551766,0.9487179487179487,0.9449901768172888,0.9444444444444444
74,1414,205,64,34,524,687,190,91,1517,36,562,737,293,97,0.9073327712055688,0.4999997827304611,0.9321028345418589,0.9444444444444444,0.9323843416370107,0.932157394843962
76,1355,179,79,23,452,622,164,58,1435,24,479,659,237,129,0.906870749804535,0.49999975719020506,0.9442508710801394,0.9583333333333334,0.9436325678496869,0.9438543247344461
69,1325,166,77,17,457,572,108,78,1731,22,597,747,240,116,0.9069012578432527,0.49999983313092117,0.7654534950895436,0.7727272727272727,0.7654941373534339,0.7657295850066934
66,1447,179,92,25,410,520,94,91,1542,27,437,554,255,133,0.907042516877073,0.4999997897184077,0.9383916990920882,0.9259259259259259,0.9382151029748284,0.9386281588447654
57,1531,224,61,34,451,425,60,84,1611,36,474,447,242,165,0.9069211555176246,0.4999998073456039,0.9503414028553694,0.9444444444444444,0.9514767932489452,0.9507829977628636
74,1659,275,74,43,429,402,82,76,1757,46,454,426,234,154,0.906839419872135,0.49999983803302117,0.9442231075697212,0.9347826086956522,0.9449339207048458,0.9436619718309859
70,1539,223,66,17,454,371,86,72,1640,18,484,420,222,160,0.9067051914443152,0.4999998140987507,0.9384146341463414,0.9444444444444444,0.9380165289256198,0.8833333333333333
63,1576,227,64,39,364,382,105,91,1658,41,383,420,243,137,0.9069309754239071,0.4999998181132965,0.9505428226779252,0.9512195121951219,0.9503916449086162,0.9095238095238095
74,1581,259,82,69,349,418,73,53,1663,73,369.75,440,187,176,0.90620965507768525,0.4999998192053787,0.9506915213469633,0.9452054794520548,0.9438810006761326,0.95
67,1438,232,62,36,387,452,48,56,1513,38,407,475,176,148,0.9060109611189064,0.499999781580128,0.9504296100462657,0.9473684210526315,0.9508599508599509,0.9515789473684211
81,1536,276,56,66,365,522,38,38,1616,69,384,549,160,153,0.9056705214073335,0.49999980853592785,0.9504950495049505,0.9565217391304348,0.9505208333333334,0.9508196721311475
84,1566,250,47,89,402,472,35,63,1680,95,431,506,181,129,0.9061044203452289,0.49999982284580496,0.9321428571428572,0.9368421052631579,0.9327146171693735,0.932806324110672
75,1525,218,47,70,455,612,35,29,1604,74,479,644,199,184,0.9064001864642577,0.4999998056604126,0.9507481296758105,0.9459459459459459,0.9498956158663883,0.9503105590062112
68,1497,213,42,60,393,530,44,52,1606,64,422,569,194,187,0.9063238055384143,0.499999806144145,0.9321295143212951,0.9375,0.9312796208530806,0.9314586994727593
69,1456,233,53,63,428,619,51,40,1552,67,456,660,195,180,0.9063394108319476,0.499999792419492,0.9381443298969072,0.9402985074626866,0.9385964912280702,0.9378787878787879
65,1331,230,23,74,519,555,54,45,1457,81,568,608,152,151,0.9054719858792476,0.499999764467468,0.9135209334248455,0.9135802469135802,0.9137323943661971,0.912828947368421
68,1366,263,41,83,480,535,39,34,1437,87,505,563,191,168,0.9062759595725977,0.49999975786561446,0.9505915100904663,0.9540229885057471,0.9504950495049505,0.9502664298401421
86,1458,252,51,47,591,496,64,54,1544,50,626,525,179,137,0.9060676944594931,0.49999979026282587,0.944300518134715,0.94,0.9440894568690096,0.9447619047619048
90,1519,279,44,89,587,526,61,32,1598,94,617,553,161,130,0.9056938832446803,0.4999998041983017,0.9505632040050063,0.9468085106382979,0.9513776337115073,0.9511754068716094
96,1544,288,52,101,670,568,46,31,1635,107,752,601,151,140,0.9054456141502872,0.4999998129600015,0.94434250764526,0.9439252336448598,0.8909574468085106,0.9450915141430949
79,1447,259,35,108,670,690,35,40,1522,114,755.5,726,157,151,0.9055985596104141,0.4999997841556428,0.9507227332457293,0.9473684210526315,0.886829913964262,0.9504132231404959
87,1484,259,38,156,647,648,75,55,1561,164,681,682,191,154,0.9062759595725977,0.49999979480621703,0.9506726457399103,0.9512195121951219,0.9500734214390602,0.9501466275659824
80,1457,246,39,137,594,649,84,36,1533,144,625,683,153,165,0.9054979957619532,0.4999997872421002,0.9504240052185258,0.9513888888888888,0.9504,0.9502196193265008
68,1285,198,33,116,511,753,61,36,1361,123,541,797,162,151,0.9057169423371344,0.4999997300683845,0.9441587068332109,0.943089430894309,0.944547134935305,0.944792973651192
94,1467,228,43,146,495,651,57,33,1543,154,521,685,122,180,0.9044818582246311,0.4999997899908814,0.9507453013609851,0.948051948051948,0.9500959692898272,0.9503649635036496
100,1545,232,65,199,485,767,37,24.450000000000003,1625,211,510,807,126,182,0.9046425512590116,0.49999981065088756,0.9507692307692308,0.943127962085308,0.9509803921568627,0.9504337050805453
89,1481,224,37,184,507,794,43,24.450000000000003,1538,191,527,825,128,143,0.9047189473957922,0.49999978862319294,0.9629388816644994,0.9633507853403142,0.9620493358633776,0.9624242424242424
87,1436,209,36,198,562,926,74,45,1511,208,591,974,117,160,0.9042647362991719,0.49999978100153253,0.9503639973527466,0.9519230769230769,0.9509306260575296,0.9507186858316222
86,1376,204,38,181,581,975,57,27,1376,181,581,975,123,154,0.9045230605819398,0.49999973592144403,1,1,1,1
84,1345,204,39,139,525,954,75,52,1345,139,525,954,129,161,0.9047562132058619,0.4999997236080209,1,1,1,1
86,1419,243,28,196,408,976,64,37,1419,196,408,976,140,145,0.9051293469230596,0.49999975168370864,1,1,1,1
85,1476,220,32,199,512,913,59,47,1476,207,512,913,154,139,0.9055236510799471,0.4999997704922849,1,0.961352657004831,1,1
77,1307,191,29,158,512,947,55,45,1316,158,512,947,138,148,0.9050661460170323,0.49999971129239384,0.993161094224924,1,1,1
81,1399,179,31,80,414,782,83,44,1399,80,414,782,125,139,0.9046033900893089,0.49999974453313684,1,1,1,1
74,1434,196,23,151,560,810,49,37,1508,159,589,852,164,137,0.9057621751673173,0.4999997801293191,0.9509283819628647,0.949685534591195,0.9507640067911715,0.9507042253521126
70,1309,170,30,82,589,811,74,61,1316,82,589,811,167,151,0.9058278931416256,0.49999971129239384,0.9946808510638298,1,1,1
61,1404,218,23,139,537,876,82,53,1404,139,537,876,175,127,0.9059915959240611,0.4999997463494614,1,1,1,1
69,1313,191,39,123,550,874,90,65,1316,123,550,874,153,126,0.9054979957619532,0.49999971129239384,0.9977203647416414,1,1,1
67,1406,223,28,128,496,828,99,51,1424,130,502,838,185,141,0.9061753730553641,0.49999975342444136,0.9873595505617978,0.9846153846153847,0.9880478087649402,0.9880668257756563
76,1354,226,34,98,491,825,150,60,2069,150,750,1169,156,142,0.9055739261915361,0.4999998831983379,0.6544224262928952,0.6533333333333333,0.6546666666666666,0.7057313943541489
89,1411,215,23,146,554,869,151,77,1411,146,554,869,137,186,0.9050338186328274,0.49999974885994974,1,1,1,1
88,1489,218,45,130,582,847,146,88,1489,130,582,847,137,176,0.9050338186328274,0.49999977448231286,1,1,1,1
66,1359,213,28,126,553,849,72,52,1359,126,553,849,159,187,0.9056468509206721,0.49999972927329916,1,1,1,1
69,1410,286,24,153,645,839,136,68,1419,154,649,844,117,171,0.9042647362991719,0.49999975168370864,0.9936575052854123,0.9935064935064936,0.9938366718027735,0.9940758293838863
55,1335,231,28,97,437,859,96,70,1352,98,442,870,153,140,0.9054979957619532,0.4999997264626589,0.9874260355029586,0.9897959183673469,0.9886877828054299,0.9873563218390805
65,1376,263,26,162,473,1010,92,55,1376,162,473,1010,158,133,0.9056228657270091,0.49999973592144403,1,1,1,1
94,1407,255,30,141,563,906,165,76,1407,141,563,906,138,122,0.9050661460170323,0.4999997474299737,1,1,1,1
104,1444,239,29,169,560,946,125,48,1444,169,560,946,108,146,0.9038205381394819,0.49999976020748765,1,1,1,1
97,1465,281,26,195,536,949,68,44,2082,211,755.5,1169,115,121,0.9041723296466183,0.4999998846524023,0.7036503362151777,0.9241706161137441,0.7094639311714097,0.8118049615055604
101,1352,236,30,189,585,1050,82,48,1521,211,658,1169,113,127,0.9040764853957337,0.49999978387173044,0.8888888888888888,0.8957345971563981,0.8890577507598785,0.8982035928143712
106,1489,297,26,199,548,1062,98,43,1489,211,548,1062,100.75,139,0.9034018852397274,0.49999977448231286,1,0.943127962085308,1,1
95,1490,274,26,179,595,1010,148,56,1490,179,595,1010,129,138,0.9047562132058619,0.4999997747849196,1,1,1,1
88,1432,263,24,174,493,1039,85,46,1432,174,493,1039,103,133,0.9035384372123693,0.4999997561717799,1,1,1,1
101,1608,319,31,199,545,933,68,24.450000000000003,1608,211,545,933,121,166,0.9044399404907298,0.49999980662607363,1,0.943127962085308,1,1
96,1503,304,37,178,587,1105.8999999999999,86,32,1503,178,587,1158,116,171,0.9042189511918559,0.4999997786640071,1,1,1,0.9550086355785836
79,1510,312,26,199,526,1105.8999999999999,52,35,1510,211,526,1169,100.75,146,0.9034018852397274,0.4999997807113723,1,0.943127962085308,1,0.946022241231822
76,1320,193,79,14,316,628,118,80,1538,17,369.75,732,312,110,0.9074501785530162,0.49999978862319294,0.8582574772431729,0.8235294117647058,0.854631507775524,0.8579234972677595
83,1353,166,65,22,398,552,240,91,1471,24,433,585,314,97,0.9074616704492698,0.49999976892941767,0.919782460910945,0.9166666666666666,0.9191685912240185,0.9435897435897436
74,1411,166,67,13.75,394,442,153,56,1504,17,420,420,284,103,0.9072713878042168,0.49999977895823905,0.9381648936170213,0.8088235294117647,0.9380952380952381,1.0523809523809524
88,1344,184,55,21,366,562,134,54,1432,22,390,757,253,103,0.9070246977471417,0.4999997561717799,0.9385474860335196,0.9545454545454546,0.9384615384615385,0.7424042272126816
48,1270,199,67,18,490,440,133,91,1354,19,522,475,382,111,0.9077776887058615,0.49999972727014874,0.9379615952732644,0.9473684210526315,0.9386973180076629,0.9263157894736842
56,1328,175,75,20,472,472,185,91,1397,21,497,512,358,134,0.907680529595105,0.4999997438011405,0.9506084466714388,0.9523809523809523,0.9496981891348089,0.921875
60,1263,190,77,19,482,814,221,91,1337,20,510,862,319,132,0.9074897386520254,0.4999997202905175,0.9446522064323112,0.95,0.9450980392156862,0.9443155452436195
66,1320,175,68,20,497,805,212,91,1389,21,523,847,353,151,0.9076585393465888,0.49999974084146703,0.9503239740820735,0.9523809523809523,0.9502868068833652,0.9504132231404959
83,1328,190,53,15,660,673,246,78,1397,17,694,708,261,126,0.9070942553472989,0.4999997438011405,0.9506084466714388,0.8823529411764706,0.9510086455331412,0.9505649717514124
77,1381,202,53,13.75,527,451,183,79,1834,17,700,599,252,114,0.9070156767832483,0.4999998513477998,0.7529989094874591,0.8088235294117647,0.7528571428571429,0.7529215358931552
79,1645,284,66,71,496,372,91,91,1753,76,529,420,188,150,0.9062265089880364,0.49999983729302455,0.9383913291500285,0.9342105263157895,0.9376181474480151,0.8857142857142857
65,1524,266,82,76,460,489,65,75,1603,80,484,514,240,176,0.9069012578432527,0.4999998054178671,0.9507174048658765,0.95,0.9504132231404959,0.9513618677042801
67,1489,304,70,79,523,579,98,75,1566,83,550,609,199,160,0.9064001864642577,0.49999979611443035,0.9508301404853129,0.9518072289156626,0.9509090909090909,0.9507389162561576
66,1531,302,65,80,513,610,77,84,1611,84,540,642,243,168,0.9069309754239071,0.4999998073456039,0.9503414028553694,0.9523809523809523,0.95,0.9501557632398754
66,1580,288,73,70,533,555,73,65,1662,74,561,584,197,164,0.9063701225782752,0.49999981898775053,0.950661853188929,0.9459459459459459,0.9500891265597148,0.9503424657534246
59,1434,262,69,69,558,597,77,64,1538,74,599,640,161,174,0.9056938832446803,0.49999978862319294,0.9323797139141743,0.9324324324324325,0.9315525876460768,0.9328125
71,1510,269,63,66,548,673,46,33,1609,70,584,717,199,171,0.9064001864642577,0.49999980686636425,0.9384711000621504,0.9428571428571428,0.9383561643835616,0.9386331938633193
69,1541,310,54,78,632,598,48,27,1642,83,674,637,198,147,0.9063852342360631,0.49999981455134035,0.938489646772229,0.9397590361445783,0.9376854599406528,0.9387755102040817
61,1601,319,70,84,666,668,66,24.450000000000003,1706,90,710,712,200,152,0.9064149817333977,0.49999982820443395,0.9384525205158265,0.9333333333333333,0.9380281690140845,0.9382022471910112
45,1528,255,53,96,588,637,50,40,1607,101,619,670,209,151,0.9065414596712038,0.49999980638533426,0.9508400746733043,0.9504950495049505,0.9499192245557351,0.9507462686567164
70,1497,292,61,124,585,675,54,42,1575,130,615,710,166,187,0.905806264245748,0.49999979843789366,0.9504761904761905,0.9538461538461539,0.9512195121951219,0.9507042253521126
77,1352,244,38,83,606,689,39,46,1441,88,646,734,162,135,0.9057169423371344,0.4999997592080062,0.9382373351839001,0.9431818181818182,0.9380804953560371,0.9386920980926431
94,1397,235,47,76,559,635,46,35,1470,80,588,668,180,149,0.9060861645194422,0.49999976861492895,0.9503401360544218,0.95,0.9506802721088435,0.9505988023952096
87,1397,231,40,68,536,595,35,33,1499,73,575,638,153,132,0.9054979957619532,0.4999997774811849,0.9319546364242829,0.9315068493150684,0.9321739130434783,0.932601880877743
62,1302,199,55,95,613,698,73,52,1370,100,645,734,141,178,0.905160241744304,0.499999733603282,0.9503649635036496,0.95,0.9503875968992248,0.9509536784741145
62,1523,266,66,67,612,606,67,47,1613,71,648,642,178,187,0.9060490064332924,0.4999998078230619,0.9442033477991321,0.9436619718309859,0.9444444444444444,0.9439252336448598
56,1369,224,32,123,664,736,40,41,1440,129,698,774,174,162,0.9059719969443657,0.49999975887345677,0.9506944444444444,0.9534883720930233,0.9512893982808023,0.9509043927648578
67,1410,237,48,86,568,757,35,36,1483,90,598,796,163,185,0.9057397044406477,0.4999997726537986,0.9507754551584626,0.9555555555555556,0.9498327759197325,0.9510050251256281
57,1377,205,52,55,492,667,35,33,1449,58,518,702,155,160,0.9055489589222269,0.4999997618595152,0.9503105590062112,0.9482758620689655,0.9498069498069498,0.9501424501424501
60,1329,186,41,57,589,781,36,48,1398,60,620,822,170,167,0.9058911778520482,0.4999997441675314,0.9506437768240343,0.95,0.95,0.9501216545012166
81,1413,204,42,93,537,745,61,37,1506,99,572,794,116,169,0.9042189511918559,0.4999997795449455,0.9382470119521913,0.9393939393939394,0.9388111888111889,0.9382871536523929
78,1306,206,23,114,511,774,35,37,1383,121,541,820,121,168,0.9044399404907298,0.4999997385879252,0.9443239334779465,0.9421487603305785,0.944547134935305,0.9439024390243902
94,1375,217,35,129,627,843,39,25,1446,136,660,887,113,181,0.9040764853957337,0.49999976087035536,0.9508990318118948,0.9485294117647058,0.95,0.9503945885005637
77,1363,225,34,156,516,931,45,32,1363,156,516,931,122,152,0.9044818582246311,0.49999973085997235,1,1,1,1
86,1359,207,32,146,469,940,97,34,1359,146,469,940,100.75,157,0.9034018852397274,0.49999972927329916,1,1,1,1
94,1299,227,38,125,529,907,67,31,1316,125,529,907,126,152,0.9046425512590116,0.49999971129239384,0.9870820668693009,1,1,1
98,1444,246,35,177,520,938,56,44,1462,179,527,950,116,144,0.9042189511918559,0.4999997660757428,0.987688098495212,0.9888268156424581,0.9867172675521821,0.9873684210526316
109,1465,234,29,175,634,806,82,45,1465,175,634,806,101,145,0.9034173732376599,0.4999997670328134,1,1,1,1
104,1417,212,26,162,670,865,68,39,1453,166,706,887,115,152,0.9041723296466183,0.49999976316887623,0.975223675154852,0.9759036144578314,0.9490084985835694,0.9751972942502819
84,1213,203,31,105,533,984,82,43,1316,110,561,1035,105,158,0.9036546632818494,0.49999971129239384,0.9217325227963525,0.9545454545454546,0.9500891265597148,0.9507246376811594
91,1418,226,27,116,509,770,145,58,1418,116,509,770,128,174,0.9047189473957922,0.49999975133335056,1,1,1,1
92,1408,228,34,126,591,850,106,56,1435,128,602,866,109,178,0.903873700904011,0.49999975719020506,0.981184668989547,0.984375,0.9817275747508306,0.9815242494226328
88,1326,213,28,119,519,883,150,61,1326,119,519,883,118,157,0.9043097069334213,0.4999997156305381,1,1,1,1
98,1442,232,25,149,563,951,91,51,1451,150,566,957,107,187,0.9037663315081383,0.4999997625155493,0.9937973811164714,0.9933333333333333,0.9946996466431095,0.9937304075235109
104,1427,263,24,184,619,863,101,50,1454,187,631,879,127,164,0.9046810651376977,0.4999997634945292,0.9814305364511692,0.983957219251337,0.9809825673534073,0.981797497155859
100,1523,258,29,156,587,766,111,38,1523,156,587,766,100.75,178,0.9034018852397274,0.499999784438996,1,1,1,1
94,1478,259,27,179,634,796,49,38,1478,179,634,796,101,140,0.9034173732376599,0.4999997711129951,1,1,1,1
98,1492,283,27,168,601,800,61,33,1492,168,601,800,121,159,0.9044399404907298,0.4999997753883087,1,1,1,1
85,1374,234,23,160,620,884,51,36,1374,160,620,884,123,166,0.9045230605819398,0.49999973515209684,1,1,1,1
84,1460,235,23,199,608,914,69,43,1469,211,612,920,116,169,0.9042189511918559,0.4999997682997978,0.9938733832539143,0.943127962085308,0.9934640522875817,0.9934782608695653
73,1425,223,23,169,563,862,64,34,1425,169,563,862,135,163,0.9049676543262872,0.4999997537703909,1,1,1,1
67,1437,219,23,199,524,939,69,45,1437,211,524,939,109,174,0.903873700904011,0.49999975786561446,1,0.943127962085308,1,1
76,1336,235,23,133,664,968,95,52,1344,134,668,974,100.75,152,0.9034018852397274,0.49999972319657027,0.9940476190476191,0.9925373134328358,0.9940119760479041,0.9938398357289527
85,1470,287,24,157,655,930,73,54,1470,157,655,930,100.75,171,0.9034018852397274,0.49999976861492895,1,1,1,1
91,1514,268,29,199,634,947,100,24.450000000000003,2190,211,755.5,1169,100.75,149,0.9034018852397274,0.4999998957486291,0.691324200913242,0.943127962085308,0.8391793514228988,0.8100940975192472
80,1425,258,30,195,646,903,104,51,1603,211,727,1016,100.75,159,0.9034018852397274,0.4999998054178671,0.8889582033686837,0.9241706161137441,0.8885832187070152,0.8887795275590551
88,1557,299,29,199,645,915,76,40,1557,211,645,915,100.75,173,0.9034018852397274,0.4999997937505595,1,0.943127962085308,1,1
98,1498,264,23,196,586,952,63,26,1498,196,586,952,100.75,148,0.9034018852397274,0.4999997771839979,1,1,1,1
79,1520,303,23,199,593,903,86,48,1520,211,593,903,100.75,144,0.9034018852397274,0.4999997835872576,1,0.943127962085308,1,1
74,1508,310,23,184,558,900,126,65,1508,184,558,900,116,151,0.9042189511918559,0.4999997801293191,1,1,1,1
