Wins,Bat_H,Bat_2B,Bat_3B,Bat_HR,Bat_BB,Bat_SO,Base_SB,Base_CS,Pitch_H,Pitch_HR,Pitch_BB,Pitch_SO,Field_E,Field_DP,field_e,pitch_h,Ratio_Bat_H_Pitch_H,Ratio_Bat_HR_Pitch_HR,Ratio_Bat_BB_Pitch_BB,Ratio_Bat_SO_Pitch_SO
70,1581,258,24,193,530,980,53,39,1591,194,533,986,129,157,1.2243883095152965,0.4999998024715549,0.9937146448774355,0.9948453608247423,0.9943714821763602,0.9939148073022313
85,1530,314,27,147,510,1028,93,45,1530,147,510,1028,106,146,1.2200314782734076,0.4999997864069375,1,1,1,1
70,1404,248,22,158,511,1022,71,45,1404,158,511,1022,106,156,1.2200314782734076,0.4999997463494614,1,1,1,1
82,1574,309,34,236,608,1024,93,52,1574,236,608,1024,134,184,1.2251557337792494,0.4999997981816978,1,1,1,1
75,1447,275,26,158,494,1001,116,52,1447,158,494,1001,103,142,1.219335193169429,0.499999761200759,1,1,1,1
99,1603,333,32,152,462,805,117,51,1603,152,462,805,87,151,1.2149010106934286,0.4999998054178671,1,1,1,1
92,1603,272,37,162,450,942,143,46,1603,162,450,942,90,126,1.2158401460298702,0.4999998054178671,1,1,1,1
95,1520,278,30,147,447,848,161,57,1520,147,447,848,87,139,1.2149010106934286,0.4999997835872576,1,1,1,1
65,1353,235,46,159,489,1239,73,38,1353,159,489,1239,100,125,1.2186014196061306,0.4999997268668514,1,1,1,1
100,1566,289,46,216,588,1045,137,39,1566,216,588,1045,104,129,1.2195713039865872,0.49999979611443035,1,1,1,1
85,1466,282,44,179,535,975,97,44,1466,179,535,975,107,138,1.2202557521794632,0.49999976735053203,1,1,1,1
92,1494,284,35,208,587,1052,71,38,1494,208,587,1052,84,148,1.2139017137749488,0.49999977598927614,1,1,1,1
98,1471,283,41,165,643,1016,92,46,1471,165,643,1016,89,116,1.2155334346271192,0.49999976892941767,1,1,1,1
51,1401,295,38,135,441,1022,53,32,1401,135,441,1022,139,144,1.2258732861819563,0.4999997452620006,1,1,1,1
77,1419,291,27,191,606,1094,67,26,1419,191,606,1094,94,159,1.2170080693937892,0.49999975168370864,1,1,1,1
77,1647,191,80,56,464,326,214,201,1933,66,545,383,318,101,1.2375557617568815,0.49999986618453846,0.8520434557682359,0.8484848484848485,0.8513761467889909,0.8511749347258486
86,1393,168,46,17,471,569,223,201,1647,20,557,673,279,106,1.2361825898118837,0.4999998156756097,0.8457802064359441,0.85,0.8456014362657092,0.8454680534918276
68,1344,207,55,29,467,668,187,163,1578,34,548,768,412,104,1.2398843862011848,0.499999799203561,0.8517110266159695,0.8529411764705882,0.8521897810218978,0.8697916666666666
58,1289,162,53,25,335,696,151,193,1365,26,355,736,358,96,1.238681116454644,0.4999997316480833,0.9443223443223443,0.9615384615384616,0.9436619718309859,0.9456521739130435
54,1280,156,55,18,318,616,139,146,1346,19,335,642,327,94,1.2378305258959696,0.4999997240185548,0.950965824665676,0.9473684210526315,0.9492537313432836,0.9595015576323987
53,1196,146,46,17,382,624,100,122,1283,18,410,660,362,109,1.2387812839350165,0.49999969624971674,0.9321901792673422,0.9444444444444444,0.9317073170731708,0.9454545454545454
63,1338,155,67,24,452,639,129,120,1465,26,495,694,273,140,1.2359401756397153,0.4999997670328134,0.9133105802047782,0.9230769230769231,0.9131313131313131,0.920749279538905
66,1292,144,45,18,436,405,141,150,1359,19,459,427,265,95,1.2356016305215547,0.49999972927329916,0.9506990434142752,0.9473684210526315,0.9498910675381264,0.9484777517564403
48,1187,131,46,16,424,918,143,160,1257,17,449,960,360,107,1.2387314506138918,0.4999996835541176,0.9443118536197295,0.9411764705882353,0.9443207126948775,0.95625
47,1520,267,58,40,594,619,181,160,1631,43,637,664,372,118,1.2390232022803973,0.4999998120414516,0.9319435928877989,0.9302325581395349,0.9324960753532182,0.9322289156626506
55,1551,240,72,37,481,731,145,134,1642,39,509,774,312,137,1.237364677307979,0.49999981455134035,0.9445797807551766,0.9487179487179487,0.9449901768172888,0.9444444444444444
74,1414,205,64,34,524,687,190,142,1517,36,562,737,293,88,1.2367133370939094,0.4999997827304611,0.9321028345418589,0.9444444444444444,0.9323843416370107,0.932157394843962
76,1355,179,79,23,452,622,164,152,1435,24,479,659,237,129,1.2342561357586936,0.49999975719020506,0.9442508710801394,0.9583333333333334,0.9436325678496869,0.9438543247344461
69,1325,140,77,17,457,572,108,74,1731,22,597,747,240,116,1.2344137721902206,0.49999983313092117,0.7654534950895436,0.7727272727272727,0.7654941373534339,0.7657295850066934
66,1447,179,92,25,410,520,94,104,1542,27,437,554,255,133,1.2351516611926034,0.4999997897184077,0.9383916990920882,0.9259259259259259,0.9382151029748284,0.9386281588447654
57,1531,224,61,34,451,425,60,84,1611,36,474,447,242,165,1.234516907077935,0.4999998073456039,0.9503414028553694,0.9444444444444444,0.9514767932489452,0.9507829977628636
74,1659,275,74,43,429,402,82,76,1757,46,454,426,234,154,1.234094866193709,0.49999983803302117,0.9442231075697212,0.9347826086956522,0.9449339207048458,0.9436619718309859
70,1539,223,66,17,454,371,86,76,1640,18,484,395,222,160,1.2334107163308443,0.4999998140987507,0.9384146341463414,0.9444444444444444,0.9380165289256198,0.9392405063291139
63,1576,227,64,39,364,382,105,59,1658,41,383,402,243,137,1.234567901234568,0.4999998181132965,0.9505428226779252,0.9512195121951219,0.9503916449086162,0.9502487562189055
74,1581,259,82,69,349,418,73,67,1663,73,367,440,187,176,1.2309700902875331,0.4999998192053787,0.9506915213469633,0.9452054794520548,0.9509536784741145,0.95
67,1438,232,62,36,387,452,48,68,1513,38,407,475,176,148,1.2300243978922214,0.499999781580128,0.9504296100462657,0.9473684210526315,0.9508599508599509,0.9515789473684211
81,1536,276,56,66,365,522,38,43,1616,69,384,549,160,153,1.2284417240396688,0.49999980853592785,0.9504950495049505,0.9565217391304348,0.9505208333333334,0.9508196721311475
84,1566,250,47,89,402,472,32,48,1680,95,431,506,181,129,1.2304670808203386,0.49999982284580496,0.9321428571428572,0.9368421052631579,0.9327146171693735,0.932806324110672
75,1525,218,47,70,455,612,24,39,1604,74,479,644,199,184,1.2318937900513207,0.4999998056604126,0.9507481296758105,0.9459459459459459,0.9498956158663883,0.9503105590062112
68,1497,213,42,60,393,530,44,61,1606,64,422,569,194,191,1.231521418528896,0.499999806144145,0.9321295143212951,0.9375,0.9312796208530806,0.9314586994727593
69,1456,233,53,63,428,619,51,44,1552,67,456,660,195,180,1.2315972670505786,0.499999792419492,0.9381443298969072,0.9402985074626866,0.9385964912280702,0.9378787878787879
65,1331,230,21,74,519,555,54,42,1457,81,568,608,152,151,1.2275386868532336,0.499999764467468,0.9135209334248455,0.9135802469135802,0.9137323943661971,0.912828947368421
68,1366,263,41,83,480,535,39,46,1437,87,505,563,191,168,1.2312895893564022,0.49999975786561446,0.9505915100904663,0.9540229885057471,0.9504950495049505,0.9502664298401421
86,1458,252,51,47,591,496,64,63,1544,50,626,525,179,137,1.230292679107414,0.49999979026282587,0.944300518134715,0.94,0.9440894568690096,0.9447619047619048
90,1519,279,44,89,587,526,61,52,1598,94,617,553,161,130,1.2285489126089886,0.4999998041983017,0.9505632040050063,0.9468085106382979,0.9513776337115073,0.9511754068716094
96,1544,288,52,101,710,568,46,47,1635,107,752,601,151,140,1.2274197651188437,0.4999998129600015,0.94434250764526,0.9439252336448598,0.9441489361702128,0.9450915141430949
79,1447,259,35,108,720,690,29,37,1522,114,757,726,157,151,1.228112795733022,0.4999997841556428,0.9507227332457293,0.9473684210526315,0.9511228533685601,0.9504132231404959
87,1484,259,38,156,647,648,75,60,1561,164,681,682,191,154,1.2312895893564022,0.49999979480621703,0.9506726457399103,0.9512195121951219,0.9500734214390602,0.9501466275659824
80,1457,246,39,137,594,649,84,36,1533,144,625,683,153,165,1.2276562085905556,0.4999997872421002,0.9504240052185258,0.9513888888888888,0.9504,0.9502196193265008
68,1285,198,33,116,511,753,61,36,1361,123,541,797,162,151,1.2286549094564416,0.4999997300683845,0.9441587068332109,0.943089430894309,0.944547134935305,0.944792973651192
94,1467,228,43,146,495,651,57,33,1543,154,521,685,122,180,1.2232192861897602,0.4999997899908814,0.9507453013609851,0.948051948051948,0.9500959692898272,0.9503649635036496
100,1545,232,65,209,485,767,37,17,1625,220,510,807,126,182,1.2239016184002114,0.49999981065088756,0.9507692307692308,0.95,0.9509803921568627,0.9504337050805453
89,1481,224,37,184,507,794,43,15,1538,191,527,825,128,143,1.2242283611177172,0.49999978862319294,0.9629388816644994,0.9633507853403142,0.9620493358633776,0.9624242424242424
87,1436,209,36,198,562,926,74,45,1511,208,591,974,117,160,1.2223075536112662,0.49999978100153253,0.9503639973527466,0.9519230769230769,0.9509306260575296,0.9507186858316222
86,1376,204,38,181,581,975,57,27,1376,181,581,975,123,154,1.2233936117694213,0.49999973592144403,1,1,1,1
84,1345,204,39,139,525,954,75,52,1345,139,525,954,129,161,1.2243883095152965,0.4999997236080209,1,1,1,1
86,1419,243,28,196,408,976,64,37,1419,196,408,976,140,145,1.226011251876914,0.49999975168370864,1,1,1,1
85,1476,220,32,207,512,913,59,47,1476,207,512,913,154,139,1.2277723558019096,0.4999997704922849,1,1,1,1
77,1307,191,29,158,512,947,55,45,1307,158,512,947,138,148,1.2257335222331636,0.49999970730262394,1,1,1,1
81,1399,179,31,80,414,782,83,44,1399,80,414,782,125,139,1.2237347219559627,0.49999974453313684,1,1,1,1
74,1434,196,18,151,560,810,49,37,1508,159,589,852,164,137,1.2288634094464779,0.4999997801293191,0.9509283819628647,0.949685534591195,0.9507640067911715,0.9507042253521126
70,1309,170,30,82,589,811,74,61,1309,82,589,811,167,151,1.2291677184674341,0.49999970819635586,1,1,1,1
61,1404,218,20,139,537,876,82,53,1404,139,537,876,175,127,1.2299331329162813,0.4999997463494614,1,1,1,1
69,1313,191,39,123,550,874,90,65,1313,123,550,874,153,126,1.2276562085905556,0.499999709971583,1,1,1,1
67,1406,223,28,128,496,828,99,51,1424,130,502,838,185,141,1.2308056844473123,0.49999975342444136,0.9873595505617978,0.9846153846153847,0.9880478087649402,0.9880668257756563
76,1354,226,34,98,491,825,150,60,2069,150,750,1261,156,142,1.2280006254260654,0.4999998831983379,0.6544224262928952,0.6533333333333333,0.6546666666666666,0.6542426645519429
89,1411,215,22,146,554,869,151,77,1411,146,554,869,137,186,1.2255919233045867,0.49999974885994974,1,1,1,1
88,1489,218,45,130,582,847,146,88,1489,130,582,847,137,176,1.2255919233045867,0.49999977448231286,1,1,1,1
66,1359,213,28,126,553,849,72,52,1359,126,553,849,159,197,1.228333322775324,0.49999972927329916,1,1,1,1
69,1410,286,24,153,645,839,136,68,1419,154,649,844,117,171,1.2223075536112662,0.49999975168370864,0.9936575052854123,0.9935064935064936,0.9938366718027735,0.9940758293838863
55,1335,231,28,97,437,859,96,70,1352,98,442,870,153,140,1.2276562085905556,0.4999997264626589,0.9874260355029586,0.9897959183673469,0.9886877828054299,0.9873563218390805
65,1376,263,26,162,473,1010,92,55,1376,162,473,1010,158,133,1.2282236873386954,0.49999973592144403,1,1,1,1
94,1407,255,30,141,563,906,165,76,1407,141,563,906,138,122,1.2257335222331636,0.4999997474299737,1,1,1,1
104,1444,239,29,169,560,946,125,48,1444,169,560,946,108,146,1.2204762847077366,0.49999976020748765,1,1,1,1
97,1465,281,26,195,536,949,68,44,2082,277,762,1349,115,121,1.2219229328464036,0.4999998846524023,0.7036503362151777,0.703971119133574,0.7034120734908137,0.7034840622683469
101,1352,236,30,189,585,1050,82,48,1521,213,658,1181,113,127,1.2215260801503558,0.49999978387173044,0.8888888888888888,0.8873239436619719,0.8890577507598785,0.8890770533446232
106,1489,297,26,215,548,1062,98,43,1489,215,548,1062,91,139,1.2161407839048508,0.49999977448231286,1,1,1,1
95,1490,274,26,179,595,1010,148,56,1490,179,595,1010,129,138,1.2243883095152965,0.4999997747849196,1,1,1,1
88,1432,263,24,174,493,1039,85,46,1432,174,493,1039,103,133,1.219335193169429,0.4999997561717799,1,1,1,1
101,1608,321,31,235,545,933,68,22,1608,235,545,933,121,166,1.22304236947026,0.49999980662607363,1,1,1,1
96,1503,304,37,178,587,1158,86,32,1503,178,587,1158,116,171,1.2221167352973217,0.4999997786640071,1,1,1,1
79,1510,312,26,222,526,1169,52,35,1510,222,526,1169,99,146,1.2183479489629536,0.4999997807113723,1,1,1,1
76,1320,193,79,14,316,628,118,123,1538,16,368,732,312,110,1.237364677307979,0.49999978862319294,0.8582574772431729,0.875,0.8586956521739131,0.8579234972677595
83,1353,158,65,22,398,736,240,168,1471,24,433,788,314,87,1.2374291022315191,0.49999976892941767,0.919782460910945,0.9166666666666666,0.9191685912240185,0.934010152284264
74,1411,164,67,11,394,712,153,78,1504,12,420,750,284,103,1.2363775462851954,0.49999977895823905,0.9381648936170213,0.9166666666666666,0.9380952380952381,0.9493333333333334
88,1344,184,55,21,366,766,134,106,1432,22,390,811,253,103,1.2350578326522386,0.4999997561717799,0.9385474860335196,0.9545454545454546,0.9384615384615385,0.9445129469790382
48,1270,199,67,18,490,723,133,142,1354,19,522,766,382,111,1.2392536910361902,0.49999972727014874,0.9379615952732644,0.9473684210526315,0.9386973180076629,0.943864229765013
56,1328,175,75,20,472,716,185,193,1397,21,497,749,358,134,1.238681116454644,0.4999997438011405,0.9506084466714388,0.9523809523809523,0.9496981891348089,0.9559412550066756
60,1263,190,77,19,482,814,221,163,1337,20,510,862,319,132,1.237586979673266,0.4999997202905175,0.9446522064323112,0.95,0.9450980392156862,0.9443155452436195
66,1320,175,68,20,497,805,212,168,1389,21,523,847,353,151,1.2385530378000682,0.49999974084146703,0.9503239740820735,0.9523809523809523,0.9502868068833652,0.9504132231404959
83,1328,190,53,15,660,673,246,201,1397,16,694,708,261,126,1.2354253676905234,0.4999997438011405,0.9506084466714388,0.9375,0.9510086455331412,0.9505649717514124
77,1381,202,53,7,527,451,183,160,1834,9,700,599,252,114,1.235010415994119,0.4999998513477998,0.7529989094874591,0.7777777777777778,0.7528571428571429,0.7529215358931552
79,1645,284,66,71,496,372,91,91,1753,76,529,396,188,150,1.2310511117922347,0.49999983729302455,0.9383913291500285,0.9342105263157895,0.9376181474480151,0.9393939393939394
65,1524,266,82,76,460,489,65,75,1603,80,484,514,240,176,1.2344137721902206,0.4999998054178671,0.9507174048658765,0.95,0.9504132231404959,0.9513618677042801
67,1489,304,70,79,523,579,98,75,1566,83,550,609,199,160,1.2318937900513207,0.49999979611443035,0.9508301404853129,0.9518072289156626,0.9509090909090909,0.9507389162561576
66,1531,302,65,80,513,610,77,84,1611,84,540,642,243,168,1.234567901234568,0.4999998073456039,0.9503414028553694,0.9523809523809523,0.95,0.9501557632398754
66,1580,288,73,70,533,555,73,65,1662,74,561,584,197,164,1.2317468832310732,0.49999981898775053,0.950661853188929,0.9459459459459459,0.9500891265597148,0.9503424657534246
59,1434,262,69,69,558,597,77,64,1538,74,599,640,161,174,1.2285489126089886,0.49999978862319294,0.9323797139141743,0.9324324324324325,0.9315525876460768,0.9328125
71,1510,269,63,66,548,673,46,33,1609,70,584,717,199,171,1.2318937900513207,0.49999980686636425,0.9384711000621504,0.9428571428571428,0.9383561643835616,0.9386331938633193
69,1541,310,54,78,632,598,48,27,1642,83,674,637,198,147,1.2318206705207315,0.49999981455134035,0.938489646772229,0.9397590361445783,0.9376854599406528,0.9387755102040817
61,1601,319,70,84,666,668,66,21,1706,90,710,712,200,152,1.23196625117616,0.49999982820443395,0.9384525205158265,0.9333333333333333,0.9380281690140845,0.9382022471910112
45,1528,255,53,96,588,637,50,40,1607,101,619,670,209,151,1.2325902319876727,0.49999980638533426,0.9508400746733043,0.9504950495049505,0.9499192245557351,0.9507462686567164
70,1497,292,61,124,585,675,54,42,1575,130,615,710,166,188,1.229067382264516,0.49999979843789366,0.9504761904761905,0.9538461538461539,0.9512195121951219,0.9507042253521126
77,1352,244,38,83,606,689,39,46,1441,88,646,734,162,135,1.2286549094564416,0.4999997592080062,0.9382373351839001,0.9431818181818182,0.9380804953560371,0.9386920980926431
94,1397,235,47,76,559,635,46,35,1470,80,588,668,180,149,1.2303803159687867,0.49999976861492895,0.9503401360544218,0.95,0.9506802721088435,0.9505988023952096
87,1397,231,40,68,536,595,27,33,1499,73,575,638,153,132,1.2276562085905556,0.4999997774811849,0.9319546364242829,0.9315068493150684,0.9321739130434783,0.932601880877743
62,1302,199,55,95,613,698,73,52,1370,100,645,734,141,178,1.2261474550535008,0.499999733603282,0.9503649635036496,0.95,0.9503875968992248,0.9509536784741145
62,1523,266,66,67,612,606,67,47,1613,71,648,642,178,201,1.230204156526887,0.4999998078230619,0.9442033477991321,0.9436619718309859,0.9444444444444444,0.9439252336448598
56,1369,224,32,123,664,736,40,41,1440,129,698,774,174,162,1.2298409243607415,0.49999975887345677,0.9506944444444444,0.9534883720930233,0.9512893982808023,0.9509043927648578
67,1410,237,48,86,568,757,32,36,1483,90,598,796,163,185,1.2287597350659403,0.4999997726537986,0.9507754551584626,0.9555555555555556,0.9498327759197325,0.9510050251256281
57,1377,205,52,55,492,667,32,33,1449,58,518,702,155,160,1.2278871533335383,0.4999997618595152,0.9503105590062112,0.9482758620689655,0.9498069498069498,0.9501424501424501
60,1329,186,41,57,589,781,36,48,1398,60,620,822,170,167,1.2294623439700076,0.4999997441675314,0.9506437768240343,0.95,0.95,0.9501216545012166
81,1413,204,42,93,537,745,61,37,1506,99,572,794,116,169,1.2221167352973217,0.4999997795449455,0.9382470119521913,0.9393939393939394,0.9388111888111889,0.9382871536523929
78,1306,206,20,114,511,774,35,37,1383,121,541,820,121,168,1.22304236947026,0.4999997385879252,0.9443239334779465,0.9421487603305785,0.944547134935305,0.9439024390243902
94,1375,217,35,129,627,843,39,25,1446,136,660,887,113,181,1.2215260801503558,0.49999976087035536,0.9508990318118948,0.9485294117647058,0.95,0.9503945885005637
77,1363,225,34,156,516,931,45,32,1363,156,516,931,122,152,1.2232192861897602,0.49999973085997235,1,1,1,1
86,1359,207,32,146,469,940,97,34,1359,146,469,940,99,157,1.2183479489629536,0.49999972927329916,1,1,1,1
94,1299,227,38,125,529,907,67,31,1299,125,529,907,126,152,1.2239016184002114,0.49999970368631996,1,1,1,1
98,1444,246,35,177,520,938,56,44,1462,179,527,950,116,144,1.2221167352973217,0.4999997660757428,0.987688098495212,0.9888268156424581,0.9867172675521821,0.9873684210526316
109,1465,234,29,175,634,806,82,45,1465,175,634,806,101,145,1.2188503684527965,0.4999997670328134,1,1,1,1
104,1417,212,26,162,689,865,68,39,1453,166,706,887,115,152,1.2219229328464036,0.49999976316887623,0.975223675154852,0.9759036144578314,0.9759206798866855,0.9751972942502819
84,1213,203,31,105,533,984,82,43,1276,110,561,1035,105,158,1.2198033633138605,0.49999969290789203,0.950626959247649,0.9545454545454546,0.9500891265597148,0.9507246376811594
91,1418,226,27,116,509,770,145,58,1418,116,509,770,128,174,1.2242283611177172,0.49999975133335056,1,1,1,1
92,1408,228,34,126,591,850,106,56,1435,128,602,866,109,178,1.2206931720557894,0.49999975719020506,0.981184668989547,0.984375,0.9817275747508306,0.9815242494226328
88,1326,213,28,119,519,883,150,61,1326,119,519,883,118,157,1.2224954586586532,0.4999997156305381,1,1,1,1
98,1442,232,25,149,563,951,91,51,1451,150,566,957,107,190,1.2202557521794632,0.4999997625155493,0.9937973811164714,0.9933333333333333,0.9946996466431095,0.9937304075235109
104,1427,263,24,184,619,863,101,50,1454,187,631,879,127,164,1.2240661475121006,0.4999997634945292,0.9814305364511692,0.983957219251337,0.9809825673534073,0.981797497155859
100,1523,258,29,156,587,766,111,38,1523,156,587,766,95,178,1.2172861898656304,0.499999784438996,1,1,1,1
94,1478,259,27,179,634,796,49,38,1478,179,634,796,101,140,1.2188503684527965,0.4999997711129951,1,1,1,1
98,1492,283,27,168,601,800,61,33,1492,168,601,800,121,159,1.22304236947026,0.4999997753883087,1,1,1,1
85,1374,234,23,160,620,884,51,36,1374,160,620,884,123,166,1.2233936117694213,0.49999973515209684,1,1,1,1
84,1460,235,22,215,608,914,69,43,1469,216,612,920,116,169,1.2221167352973217,0.4999997682997978,0.9938733832539143,0.9953703703703703,0.9934640522875817,0.9934782608695653
73,1425,223,13,169,563,862,64,34,1425,169,563,862,135,163,1.2253030684407724,0.4999997537703909,1,1,1,1
67,1437,219,20,211,524,939,69,45,1437,211,524,939,109,174,1.2206931720557894,0.49999975786561446,1,1,1,1
76,1336,235,22,133,664,968,95,52,1344,134,668,974,92,152,1.2164355333011068,0.49999972319657027,0.9940476190476191,0.9925373134328358,0.9940119760479041,0.9938398357289527
85,1470,287,24,157,655,930,73,54,1470,157,655,930,100,171,1.2186014196061306,0.49999976861492895,1,1,1,1
91,1514,268,29,201,634,947,100,19,2190,291,917,1370,82,149,1.2131990583749432,0.4999998957486291,0.691324200913242,0.6907216494845361,0.6913849509269356,0.6912408759124088
80,1425,258,30,195,646,903,104,51,1603,219,727,1016,81,159,1.2128360388073969,0.4999998054178671,0.8889582033686837,0.8904109589041096,0.8885832187070152,0.8887795275590551
88,1557,299,29,257,645,915,76,40,1557,257,645,915,97,173,1.2178269209828343,0.4999997937505595,1,1,1,1
98,1498,264,22,196,586,952,63,26,1498,196,586,952,97,148,1.2178269209828343,0.4999997771839979,1,1,1,1
79,1520,303,11,214,593,903,86,48,1520,214,593,903,81,144,1.2128360388073969,0.4999997835872576,1,1,1,1
74,1508,310,22,184,558,900,126,65,1508,184,558,900,116,151,1.2221167352973217,0.4999997801293191,1,1,1,1
63,1367,264,24,137,517,995,134,53,1375,138,520,1001,126,138,1.2239016184002114,0.49999973553719007,0.9941818181818182,0.9927536231884058,0.9942307692307693,0.994005994005994
67,1353,311,27,165,452,993,110,48,1353,165,452,993,91,173,1.2161407839048508,0.4999997268668514,1,1,1,1
78,1614,319,18,169,528,949,101,41,1614,169,528,949,110,161,1.2209065070949485,0.4999998080611256,1,1,1,1
74,1492,296,27,189,447,902,83,37,1492,189,447,902,107,154,1.2202557521794632,0.4999997753883087,1,1,1,1
79,1344,206,72,43,448,626,196,142,1432,46,477,667,247,119,1.234768157148572,0.4999997561717799,0.9385474860335196,0.9347826086956522,0.939203354297694,0.9385307346326837
104,1722,167,84,13,564,344,272,168,1872,14,613,374,354,72,1.2385789139570502,0.49999985732157204,0.9198717948717948,0.9285714285714286,0.9200652528548124,0.9197860962566845
94,1612,218,124,44,394,336,187,163,1920,52,469,400,392,124,1.2394735687248153,0.49999986436631944,0.8395833333333333,0.8461538461538461,0.8400852878464818,0.84
83,1257,176,74,31,518,725,140,97,1340,33,552,767,309,80,1.237266633791275,0.499999721541546,0.9380597014925374,0.9393939393939394,0.9384057971014492,0.9452411994784876
52,1287,168,79,14,313,791,104,134,1354,15,329,823,350,88,1.238474611395494,0.49999972727014874,0.9505169867060561,0.9333333333333333,0.9513677811550152,0.9611178614823815
64,1331,167,52,20,332,912,136,134,1447,22,361,978,292,112,1.2366769477270587,0.499999761200759,0.9198341395991707,0.9090909090909091,0.9196675900277008,0.9325153374233128
79,1303,123,93,15,304,548,176,193,1371,16,320,574,311,75,1.2373321853077126,0.49999973399175696,0.950401167031364,0.9375,0.95,0.9547038327526133
94,1402,162,74,21,373,654,231,193,1504,23,400,694,312,102,1.237364677307979,0.49999977895823905,0.9321808510638298,0.9130434782608695,0.9325,0.9423631123919308
86,1429,185,92,46,455,417,205,168,1513,49,482,444,326,85,1.2378006713052723,0.499999781580128,0.9444811632518176,0.9387755102040817,0.9439834024896265,0.9391891891891891
112,1496,287,90,31,602,747,197,193,1594,33,642,796,284,94,1.2363775462851954,0.4999998032143751,0.9385194479297365,0.9393939393939394,0.9376947040498442,0.9384422110552764
85,1441,238,109,18,503,577,204,160,1556,19,543,623,257,91,1.2352441743758493,0.49999979348537216,0.9260925449871465,0.9473684210526315,0.9263351749539595,0.9261637239165329
96,1311,207,59,15,488,507,136,91,1379,16,513,533,193,114,1.2314448629771304,0.4999997370691944,0.9506889050036258,0.9375,0.9512670565302144,0.9512195121951219
96,1325,211,68,15,497,504,112,93,1412,16,530,537,195,124,1.2315972670505786,0.49999974921554624,0.9383852691218131,0.9375,0.9377358490566038,0.9385474860335196
96,1273,204,69,19,522,417,141,99,1637,24,671,536,195,114,1.2315972670505786,0.4999998134167535,0.7776420281001832,0.7916666666666666,0.7779433681073026,0.7779850746268657
78,1405,214,58,39,557,486,128,69,1661,46,659,575,169,140,1.229365181687211,0.49999981876972915,0.8458759783263095,0.8478260869565217,0.8452200303490136,0.8452173913043478
79,1515,261,73,18,450,362,87,68,1594,19,473,381,165,159,1.2289659521459542,0.4999998032143751,0.9504391468005019,0.9473684210526315,0.9513742071881607,0.9501312335958005
